단속년도,시군구명,단속동,단속건수
2021년,영등포구,당산1동,1 
2021년,영등포구,당산2동,3 
2021년,영등포구,당산동,3758 
2021년,영등포구,당산동1가,726 
2021년,영등포구,당산동2가,633 
2021년,영등포구,당산동3가,3057 
2021년,영등포구,당산동4가,1751 
2021년,영등포구,당산동5가,1751 
2021년,영등포구,당산동6가,1457 
2021년,영등포구,당산제2동,2 
2021년,영등포구,대림1동,2709 
2021년,영등포구,대림2동,4061 
2021년,영등포구,대림3동,5275 
2021년,영등포구,대림동,7529 
2021년,영등포구,대림제1동,1 
2021년,영등포구,도림동,3308 
2021년,영등포구,문래동1가,825 
2021년,영등포구,문래동2가,589 
2021년,영등포구,문래동3가,6313 
2021년,영등포구,문래동4가,444 
2021년,영등포구,문래동5가,1415 
2021년,영등포구,문래동6가,1083 
2021년,영등포구,신길1동,2221 
2021년,영등포구,신길3동,1794 
2021년,영등포구,신길4동,1701 
2021년,영등포구,신길5동,770 
2021년,영등포구,신길6동,2167 
2021년,영등포구,신길7동,1634 
2021년,영등포구,신길동,7029 
2021년,영등포구,신길제5동,1 
2021년,영등포구,양평1동,1 
2021년,영등포구,양평2동,1 
2021년,영등포구,양평동,2875 
2021년,영등포구,양평동1가,570 
2021년,영등포구,양평동2가,682 
2021년,영등포구,양평동3가,1156 
2021년,영등포구,양평동4가,3474 
2021년,영등포구,양평동5가,1236 
2021년,영등포구,양평동6가,724 
2021년,영등포구,양화동,52 
2021년,영등포구,여의도동,18607 
2021년,영등포구,여의동,453 
2021년,영등포구,영등포동,2305 
2021년,영등포구,영등포동1가,569 
2021년,영등포구,영등포동2가,1079 
2021년,영등포구,영등포동3가,2091 
2021년,영등포구,영등포동4가,1532 
2021년,영등포구,영등포동5가,719 
2021년,영등포구,영등포동6가,354 
2021년,영등포구,영등포동7가,3085 
2021년,영등포구,영등포동8가,873 
2021년,영등포구,영등포본동,863 
