,구별,지하철 승차총승객수,지하철 하차총승객수,지하철 총승객수,공공자전거 대여 건수,대중교통 총이용량
0,강남구,19304.14285714286,19938.85714285714,39242.90476190476,804.0,40046.90476190476
1,강동구,9944.642857142857,9759.642857142857,19704.14285714286,1595.0,21299.14285714286
2,강북구,22947.0,22560.33333333333,45507.66666666666,1082.0,46589.66666666666
3,강서구,12976.888888888889,12552.111111111111,25529.222222222223,2656.0,28185.222222222223
4,관악구,30948.25,29882.75,60831.25,1714.0,62545.25
5,광진구,16128.90909090909,15885.636363636364,32014.636363636364,2363.0,34377.63636363637
6,구로구,16973.75,16989.375,33963.125,1565.0,35528.125
7,금천구,25051.0,26193.0,51244.0,963.0,52207.0
8,노원구,12072.53846153846,11778.692307692309,23851.384615384617,1939.0,25790.384615384617
9,도봉구,17297.666666666668,16777.666666666668,34075.0,1291.0,35366.0
10,동대문구,10426.333333333334,10420.333333333334,20846.666666666668,1857.0,22703.666666666668
11,동작구,14362.083333333334,14036.583333333334,28398.75,1309.0,29707.75
12,마포구,12114.4375,12481.5,24595.8125,1892.0,26487.8125
13,서대문구,7659.2,7676.0,15335.4,1184.0,16519.4
14,서초구,17011.166666666668,17169.916666666668,34181.333333333336,906.0,35087.333333333336
15,성동구,10219.285714285714,10377.785714285714,20596.92857142857,1833.0,22429.92857142857
16,성북구,9957.333333333334,9657.222222222224,19614.555555555555,1354.0,20968.555555555555
17,송파구,10218.851851851852,10241.777777777776,20460.74074074074,1903.0,22363.74074074074
18,양천구,12325.6,12385.0,24710.8,2324.0,27034.8
19,영등포구,12745.916666666666,13092.0,25837.83333333333,2346.0,28183.83333333333
20,용산구,8156.0,8409.888888888889,16566.0,1076.0,17642.0
21,은평구,11668.846153846154,11266.76923076923,22935.846153846152,1201.0,24136.846153846152
22,종로구,17520.0,17593.928571428572,35114.142857142855,1309.0,36423.142857142855
23,중구,12057.9,12311.15,24369.15,1106.0,25475.15
24,중랑구,9023.125,8767.75,17790.75,1306.0,19096.75
